date,team,opponent,season,year,month,day_of_week,outcome,team_encoded,opponent_encoded,venue_encoded,formation_encoded,opp formation_encoded,is_home,avg_gf_5,avg_ga_5,avg_xg_5,avg_xga_5,avg_poss_5,avg_sh_5,avg_sot_5,avg_dist_5,avg_fk_5,avg_pk_5,avg_pkatt_5,avg_goal_diff,avg_xgoal_diff,avg_shot_acc,avg_pk_acc,form_5,points_5,attendance,round,comp,time,day_of_week_encoded
2019-08-31,Alaves,Getafe,2019,2019,8,Saturday,0,0,10,0,20,17,0,0.5,0.0,0.65,0.65,37.5,9.5,2.0,18.450000000000003,0.5,0.0,0.0,0.5,0.0,0.21052631578947367,0.0,0.0,1.0,10806.0,Matchweek 3,La Liga,19:00,2
2019-09-15,Alaves,Sevilla,2019,2019,9,Sunday,-1,0,24,1,18,15,1,0.6666666666666666,0.3333333333333333,0.7666666666666666,0.7666666666666666,38.0,8.0,1.6666666666666667,15.100000000000001,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.20833333333333334,0.0,0.0,2.0,16309.0,Matchweek 4,La Liga,14:00,3
2019-09-22,Alaves,Athletic Club,2019,2019,9,Sunday,-1,0,2,0,10,11,0,0.5,0.5,0.775,0.8500000000000001,38.25,7.75,1.25,15.700000000000001,0.25,0.0,0.0,0.0,-0.07500000000000007,0.16129032258064516,0.0,0.0,2.0,45143.0,Matchweek 5,La Liga,18:30,3
2019-09-26,Alaves,Real Sociedad,2019,2019,9,Thursday,-1,0,23,0,10,15,0,0.4,0.8,0.66,1.16,39.2,7.0,1.2,16.64,0.2,0.0,0.0,-0.4,-0.4999999999999999,0.17142857142857143,0.0,0.0,2.0,28720.0,Matchweek 6,La Liga,21:00,4
2019-09-29,Alaves,Mallorca,2019,2019,9,Sunday,1,0,17,1,18,11,1,0.2,1.4,0.62,1.7,39.8,6.2,0.8,15.479999999999999,0.0,0.0,0.0,-1.2,-1.08,0.12903225806451613,0.0,0.0,2.0,17135.0,Matchweek 7,La Liga,16:00,3
2019-10-05,Alaves,Valencia,2019,2019,10,Saturday,-1,0,25,0,18,17,0,0.6,1.4,0.8800000000000001,1.7,43.2,6.2,1.4,16.4,0.0,0.2,0.2,-0.7999999999999999,-0.8199999999999998,0.2258064516129032,1.0,0.2,4.0,38943.0,Matchweek 8,La Liga,18:30,2
2019-10-20,Alaves,Celta Vigo,2019,2019,10,Sunday,1,0,6,1,18,17,1,0.6,1.6,1.02,1.7600000000000002,44.2,7.2,2.0,17.28,0.0,0.2,0.2,-1.0,-0.7400000000000002,0.2777777777777778,1.0,0.2,3.0,16584.0,Matchweek 9,La Liga,12:00,3
2019-10-25,Alaves,Villarreal,2019,2019,10,Friday,-1,0,27,0,18,9,0,1.0,1.4,1.28,1.8,44.0,8.2,3.0,16.12,0.0,0.2,0.2,-0.3999999999999999,-0.52,0.3658536585365854,1.0,0.4,6.0,16049.0,Matchweek 10,La Liga,21:00,0
2019-10-29,Alaves,Atletico Madrid,2019,2019,10,Tuesday,0,0,3,1,18,17,1,1.2,1.8,1.4,1.8199999999999998,42.8,9.8,3.4,15.62,0.2,0.2,0.2,-0.6000000000000001,-0.41999999999999993,0.346938775510204,1.0,0.4,6.0,17235.0,Matchweek 11,La Liga,19:00,5
2019-11-03,Alaves,Osasuna,2019,2019,11,Sunday,-1,0,18,0,18,17,0,1.4,1.4,1.4600000000000002,1.4,44.2,11.0,4.0,16.919999999999998,0.4,0.2,0.2,0.0,0.060000000000000275,0.36363636363636365,1.0,0.4,7.0,15954.0,Matchweek 12,La Liga,16:00,3
2019-11-09,Alaves,Valladolid,2019,2019,11,Saturday,1,0,26,1,18,17,1,1.4,2.2,1.3400000000000003,2.1,41.8,11.0,3.4,16.339999999999996,0.6,0.2,0.2,-0.8000000000000003,-0.7599999999999998,0.3090909090909091,1.0,0.2,4.0,16148.0,Matchweek 13,La Liga,13:00,2
2019-11-24,Alaves,Eibar,2019,2019,11,Sunday,1,0,7,0,12,17,0,1.8,1.8,1.6800000000000002,1.9,42.2,11.6,3.4,16.56,0.6,0.4,0.4,0.0,-0.21999999999999975,0.29310344827586204,1.0,0.4,7.0,6315.0,Matchweek 14,La Liga,16:00,3
2019-11-30,Alaves,Real Madrid,2019,2019,11,Saturday,-1,0,22,1,18,15,1,1.8,1.8,1.58,1.92,43.0,10.6,3.4,16.68,0.6,0.4,0.4,0.0,-0.33999999999999986,0.32075471698113206,1.0,0.4,7.0,19357.0,Matchweek 15,La Liga,13:00,2
2019-12-07,Alaves,Granada,2019,2019,12,Saturday,-1,0,12,0,18,11,0,1.8,1.4,1.6800000000000002,1.78,42.8,9.6,3.0,16.18,0.4,0.6,0.6,0.40000000000000013,-0.09999999999999987,0.3125,1.0,0.4,7.0,14773.0,Matchweek 16,La Liga,16:00,2
2019-12-13,Alaves,Leganes,2019,2019,12,Friday,0,0,15,1,18,20,1,1.6,1.8,1.6199999999999999,1.94,43.0,8.4,2.6,16.8,0.4,0.6,0.6,-0.19999999999999996,-0.32000000000000006,0.30952380952380953,1.0,0.4,6.0,15567.0,Matchweek 17,La Liga,21:00,0
